FirstName                                          LastName                                           JobTitle                                           rate                  Averagerate           MaximumRate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------- --------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              48.101                17.7588               125.50
Kim                                                Abercrombie                                        Production Technician - WC60                       12.45                 17.7588               125.50
Hazem                                              Abolrous                                           Quality Assurance Manager                          28.8462               17.7588               125.50
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  19.2308               17.7588               125.50
Jay                                                Adams                                              Production Technician - WC60                       12.45                 17.7588               125.50
François                                           Ajenstat                                           Database Administrator                             38.4615               17.7588               125.50
Amy                                                Alberts                                            European Sales Manager                             48.101                17.7588               125.50
Greg                                               Alderson                                           Production Technician - WC45                       10.00                 17.7588               125.50
Sean                                               Alexander                                          Quality Assurance Technician                       10.5769               17.7588               125.50
Gary                                               Altman                                             Facilities Manager                                 24.0385               17.7588               125.50
Nancy                                              Anderson                                           Production Technician - WC60                       12.45                 17.7588               125.50
Pamela                                             Ansman-Wolfe                                       Sales Representative                               23.0769               17.7588               125.50
Zainal                                             Arifin                                             Document Control Manager                           17.7885               17.7588               125.50
Dan                                                Bacon                                              Application Specialist                             27.4038               17.7588               125.50
Bryan                                              Baker                                              Production Technician - WC60                       12.45                 17.7588               125.50
Mary                                               Baker                                              Production Technician - WC10                       13.45                 17.7588               125.50
Angela                                             Barbariol                                          Production Technician - WC50                       11.00                 17.7588               125.50
David                                              Barber                                             Assistant to the Chief Financial Officer           13.4615               17.7588               125.50
Paula                                              Barreto de Mattos                                  Human Resources Manager                            27.1394               17.7588               125.50
Wanida                                             Benshoof                                           Marketing Assistant                                13.4615               17.7588               125.50
Karen                                              Berg                                               Application Specialist                             27.4038               17.7588               125.50
Karen                                              Berge                                              Document Control Assistant                         10.25                 17.7588               125.50
Andreas                                            Berglund                                           Quality Assurance Technician                       10.5769               17.7588               125.50
Matthias                                           Berndt                                             Shipping and Receiving Clerk                       9.50                  17.7588               125.50
Jo                                                 Berry                                              Janitor                                            9.25                  17.7588               125.50
Jimmy                                              Bischoff                                           Stocker                                            9.00                  17.7588               125.50
Michael                                            Blythe                                             Sales Representative                               23.0769               17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  24.00                 17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  28.75                 17.7588               125.50
David                                              Bradley                                            Marketing Manager                                  37.50                 17.7588               125.50
Alan                                               Brewer                                             Scheduling Assistant                               16.00                 17.7588               125.50
