FirstName                                          LastName                                           JobTitle                                           rate                  Averagerate           MaximumRate           Difffromavgrate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------- --------------------- --------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              48.101                17.7588               125.50                30.3422
Kim                                                Abercrombie                                        Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088
Hazem                                              Abolrous                                           Quality Assurance Manager                          28.8462               17.7588               125.50                11.0874
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  19.2308               17.7588               125.50                1.472
Jay                                                Adams                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088
François                                           Ajenstat                                           Database Administrator                             38.4615               17.7588               125.50                20.7027
Amy                                                Alberts                                            European Sales Manager                             48.101                17.7588               125.50                30.3422
Greg                                               Alderson                                           Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588
Sean                                               Alexander                                          Quality Assurance Technician                       10.5769               17.7588               125.50                -7.1819
Gary                                               Altman                                             Facilities Manager                                 24.0385               17.7588               125.50                6.2797
Nancy                                              Anderson                                           Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088
Pamela                                             Ansman-Wolfe                                       Sales Representative                               23.0769               17.7588               125.50                5.3181
Zainal                                             Arifin                                             Document Control Manager                           17.7885               17.7588               125.50                0.0297
Dan                                                Bacon                                              Application Specialist                             27.4038               17.7588               125.50                9.645
Bryan                                              Baker                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088
Mary                                               Baker                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088
Angela                                             Barbariol                                          Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588
David                                              Barber                                             Assistant to the Chief Financial Officer           13.4615               17.7588               125.50                -4.2973
Paula                                              Barreto de Mattos                                  Human Resources Manager                            27.1394               17.7588               125.50                9.3806
Wanida                                             Benshoof                                           Marketing Assistant                                13.4615               17.7588               125.50                -4.2973
Karen                                              Berg                                               Application Specialist                             27.4038               17.7588               125.50                9.645
Karen                                              Berge                                              Document Control Assistant                         10.25                 17.7588               125.50                -7.5088
